Device/package EF3L40CG332B   datasheet:1.3

Number  Name                               Type            Posetion   Section
K4      IO_BE6P_4                          Bidirectional   Right      4
L4      IO_BE6N_4                          Bidirectional   Right      4
K2      IO_BE5P_4                          Bidirectional   Right      4
K1      IO_BE5N_4                          Bidirectional   Right      4
L2      IO_BE4P_4                          Bidirectional   Right      4
L3      IO_BE4N_4                          Bidirectional   Right      4
M3      IO_BE3P_4                          Bidirectional   Right      4
N1      IO_BE3N_4                          Bidirectional   Right      4
L1      IO_BE2P_4                          Bidirectional   Right      4
M4      IO_BE2N_4                          Bidirectional   Right      4
N2      IO_BE1P_4                          Bidirectional   Right      4
N3      IO_BE1N_4                          Bidirectional   Right      4
B1      IO_BE15N_5                         Bidirectional   Right      4
C2      IO_BE15P_5                         Bidirectional   Right      4
C1      IO_BE14N_5                         Bidirectional   Right      4
D3      IO_BE14P_5                         Bidirectional   Right      4
E2      IO_BE13N_5,GPLL0IN_FDB             Bidirectional   Right      4
E3      IO_BE13P_5,GPLL0IP_FDB             Bidirectional   Right      4
D4      IO_BE12N_5                         Bidirectional   Right      4
E4      IO_BE12P_5                         Bidirectional   Right      4
F3      IO_BE11N_5,GPLL0IN_REF             Bidirectional   Right      4
E1      IO_BE11P_5,GPLL0IP_REF             Bidirectional   Right      4
D1      IO_BE10N_5                         Bidirectional   Right      4
D2      IO_BE10P_5                         Bidirectional   Right      4
G2      IO_BE9N_5,GCLKIOB_5_5              Bidirectional   Right      4
G3      IO_BE9P_5,GCLKIOB_4_5              Bidirectional   Right      4
J10     VCCAUX                             Power           Left       5
J11     VCCAUX                             Power           Left       5
L12     VCCAUX                             Power           Left       5
L9      VCCAUX                             Power           Left       5
M11     VCCAUX                             Power           Left       5
M10     VCCAUX                             Power           Left       5
K9      VCCAUX                             Power           Left       5
K12     VCCAUX                             Power           Left       5
H11     VCCIO0                             Power           Left       5
H9      VCCIO0                             Power           Left       5
H12     VCCIO0                             Power           Left       5
H10     VCCIO0                             Power           Left       5
M13     VCCIO1                             Power           Left       5
L13     VCCIO1                             Power           Left       5
J13     VCCIO1                             Power           Left       5
K13     VCCIO1                             Power           Left       5
N12     VCCIO2                             Power           Left       5
N9      VCCIO2                             Power           Left       5
N10     VCCIO2                             Power           Left       5
N11     VCCIO2                             Power           Left       5
M8      VCCIO3                             Power           Left       5
L8      VCCIO3                             Power           Left       5
K5      VCCIO4                             Power           Left       5
K8      VCCIO5                             Power           Left       5
J8      VCCIO5                             Power           Left       5
Y1      GND                                Power           Right      5
Y11     GND                                Power           Right      5
Y20     GND                                Power           Right      5
M9      GND                                Power           Right      5
L16     GND                                Power           Right      5
N8      GND                                Power           Right      5
M12     GND                                Power           Right      5
T10     GND                                Power           Right      5
N13     GND                                Power           Right      5
V18     GND                                Power           Right      5
V3      GND                                Power           Right      5
A1      GND                                Power           Right      5
A10     GND                                Power           Right      5
A20     GND                                Power           Right      5
E11     GND                                Power           Right      5
H8      GND                                Power           Right      5
H13     GND                                Power           Right      5
J9      GND                                Power           Right      5
J12     GND                                Power           Right      5
K10     GND                                Power           Right      5
K11     GND                                Power           Right      5
K20     GND                                Power           Right      5
L5      GND                                Power           Right      5
L10     GND                                Power           Right      5
L11     GND                                Power           Right      5
C3      GND_PLLA0                          Power           Right      5
C18     GND_PLLA1                          Power           Right      5

Total Number of Pins, 332
