Device/package EF3L90CG400B   datasheet:1.3

Number       Name                                         Type               Position   Section
V12          IO_R27P_2                                    Bidirectional      Left       C
V13          IO_R27N_2                                    Bidirectional      Left       C
Y16          IO_R29P_2                                    Bidirectional      Left       C
W16          IO_R29N_2                                    Bidirectional      Left       C
T12          IO_R33P_2                                    Bidirectional      Left       C
T13          IO_R33N_2                                    Bidirectional      Left       C
Y18          IO_R35P_2                                    Bidirectional      Left       C
W18          IO_R35N_2                                    Bidirectional      Left       C
P13          IO_R37P_2                                    Bidirectional      Left       C
R13          IO_R37N_2                                    Bidirectional      Left       C
T16          IO_R39P_2                                    Bidirectional      Left       C
R15          IO_R39N_2                                    Bidirectional      Left       C
P14          IO_R41P_2                                    Bidirectional      Left       C
R14          IO_R41N_2                                    Bidirectional      Left       C
Y2           IO_RE2N_2                                    Bidirectional      Right      C
W2           IO_RE2P_2                                    Bidirectional      Right      C
Y3           IO_RE4N_2                                    Bidirectional      Right      C
W3           IO_RE4P_2                                    Bidirectional      Right      C
Y4           IO_RE6N_2                                    Bidirectional      Right      C
W4           IO_RE6P_2                                    Bidirectional      Right      C
Y5           IO_RE8N_2                                    Bidirectional      Right      C
W5           IO_RE8P_2                                    Bidirectional      Right      C
U6           IO_RE10N_2                                   Bidirectional      Right      C
V6           IO_RE10P_2                                   Bidirectional      Right      C
Y7           IO_RE12N_2                                   Bidirectional      Right      C
W7           IO_RE12P_2                                   Bidirectional      Right      C
U9           IO_RE14N_2                                   Bidirectional      Right      C
V8           IO_RE14P_2                                   Bidirectional      Right      C
W10          IO_RE16N_2                                   Bidirectional      Right      C
Y10          IO_RE16P_2                                   Bidirectional      Right      C
V10          IO_RE18N_2                                   Bidirectional      Right      C
U10          IO_RE18P_2                                   Bidirectional      Right      C
T10          IO_RE20N_2                                   Bidirectional      Right      C
U11          IO_RE20P_2                                   Bidirectional      Right      C
W14          IO_RE26N_2                                   Bidirectional      Right      C
Y14          IO_RE26P_2                                   Bidirectional      Right      C
W15          IO_RE28N_2                                   Bidirectional      Right      C
Y15          IO_RE28P_2                                   Bidirectional      Right      C
T11          IO_R23N_2                                    Bidirectional      Right      C
U12          IO_R23P_2                                    Bidirectional      Right      C
W17          IO_RE30N_2                                   Bidirectional      Right      C
Y17          IO_RE30P_2                                   Bidirectional      Right      C
T6           IO_BE31N_2                                   Bidirectional      Right      C
R6           IO_BE31P_2                                   Bidirectional      Right      C
W1           IO_BE32P_2                                   Bidirectional      Right      C
Y1           IO_BE32N_2                                   Bidirectional      Right      C
U14          IO_RE34N_2                                   Bidirectional      Right      C
V14          IO_RE34P_2                                   Bidirectional      Right      C
W19          IO_RE36N_2                                   Bidirectional      Right      C
Y19          IO_RE36P_2                                   Bidirectional      Right      C
W20          IO_RE38N_2                                   Bidirectional      Right      C
Y20          IO_RE38P_2                                   Bidirectional      Right      C
V16          IO_RE42N_2                                   Bidirectional      Right      C
V15          IO_RE42P_2                                   Bidirectional      Right      C
U15          IO_RE40N_2                                   Bidirectional      Right      C
T14          IO_RE40P_2                                   Bidirectional      Right      C
M6           IO_BE1P_3                                    Bidirectional      Left       D
M7           IO_BE1N_3                                    Bidirectional      Left       D
R1           IO_BE2P_3                                    Bidirectional      Left       D
R2           IO_BE2N_3                                    Bidirectional      Left       D
T1           IO_BE3P_3                                    Bidirectional      Left       D
T2           IO_BE3N_3                                    Bidirectional      Left       D
R3           IO_BE4P_3                                    Bidirectional      Left       D
R4           IO_BE4N_3                                    Bidirectional      Left       D
N3           IO_BE5P_3                                    Bidirectional      Left       D
