Device/package EF3L40CG324B   datasheet:DS600_ELF3_Datasheet_V1.6_CN

pin      name                             bank    type                part     location
N12      IO_RE8P_2                         2      Bidirectional         3       Right
P12      IO_RE8N_2                         2      Bidirectional         3       Right
V14      IO_RE10P_2                        2      Bidirectional         3       Right
R12      IO_RE10N_2                        2      Bidirectional         3       Right
T13      IO_RE11P_2                        2      Bidirectional         3       Right
P11      IO_RE11N_2                        2      Bidirectional         3       Right
R11      IO_RE13P_2                        2      Bidirectional         3       Right
P10      IO_RE13N_2                        2      Bidirectional         3       Right
V15      IO_RE15P_2                        2      Bidirectional         3       Right
U12      IO_RE15N_2                        2      Bidirectional         3       Right
V12      IO_RE17P_2,GCLKIOR_2              2      Bidirectional         3       Right
T10      IO_RE17N_2,GCLKIOR_3              2      Bidirectional         3       Right
U11      IO_RE19P_2,GCLKIOR_0              2      Bidirectional         3       Right
V8       IO_RE19N_2,GCLKIOR_1              2      Bidirectional         3       Right
T9       IO_RE21P_2                        2      Bidirectional         3       Right
V9       IO_RE21N_2                        2      Bidirectional         3       Right
N10      IO_RE23P_2                        2      Bidirectional         3       Right
R9       IO_RE23N_2                        2      Bidirectional         3       Right
P9       IO_RE24P_2                        2      Bidirectional         3       Right
V7       IO_RE24N_2                        2      Bidirectional         3       Right
V6       IO_RE26P_2                        2      Bidirectional         3       Right
U7       IO_RE26N_2                        2      Bidirectional         3       Right
V4       IO_RE28P_2                        2      Bidirectional         3       Right
T7       IO_RE28N_2                        2      Bidirectional         3       Right
U5       IO_RE30P_2                        2      Bidirectional         3       Right
T6       IO_RE30N_2                        2      Bidirectional         3       Right
U4       IO_RE32P_2                        2      Bidirectional         3       Right
N8       IO_RE32N_2                        2      Bidirectional         3       Right
U3       IO_RE34P_2                        2      Bidirectional         3       Right
P5       IO_RE34N_2                        2      Bidirectional         3       Right
M6       IO_RE2P_2                         2      Bidirectional         3       Right
L4       IO_RE2N_2                         2      Bidirectional         3       Right
P6       IO_BE1P_3                         3      Bidirectional         4        Left
N7       IO_BE1N_3                         3      Bidirectional         4        Left
P7       IO_BE2P_3                         3      Bidirectional         4        Left
M5       IO_BE2N_3                         3      Bidirectional         4        Left
N3       IO_BE3P_3                         3      Bidirectional         4        Left
P4       IO_BE3N_3                         3      Bidirectional         4        Left
R3       IO_BE4P_3                         3      Bidirectional         4        Left
R1       IO_BE4N_3                         3      Bidirectional         4        Left
P3       IO_BE5P_3                         3      Bidirectional         4        Left
N1       IO_BE5N_3                         3      Bidirectional         4        Left
N2       IO_BE6P_3,GCLKIOB_0               3      Bidirectional         4        Left
M1       IO_BE6N_3,GCLKIOB_1               3      Bidirectional         4        Left
L6       IO_BE7P_3                         3      Bidirectional         4        Left
P1       IO_BE7N_3                         3      Bidirectional         4        Left
M4       IO_BE8P_3                         3      Bidirectional         4        Left
M3       IO_BE8N_3                         3      Bidirectional         4        Left
L5       IO_BE9P_3                         3      Bidirectional         4        Left
N4       IO_BE9N_3                         3      Bidirectional         4        Left
T1       IO_BE10P_3                        3      Bidirectional         4        Left
R2       IO_BE10N_3                        3      Bidirectional         4        Left
U1       IO_BE11P_3                        3      Bidirectional         4        Left
T2       IO_BE11N_3                        3      Bidirectional         4        Left
N5       IO_BE12P_3                        3      Bidirectional         4        Left
P2       IO_BE12N_3                        3      Bidirectional         4        Left
K6       IO_BE1P_4                         3      Bidirectional         4        Left
L3       IO_BE1N_4                         4      Bidirectional         4        Left
K1       IO_BE2P_4                         4      Bidirectional         4        Left
L1       IO_BE2N_4                         4      Bidirectional         4        Left
K7       IO_BE3P_4                         4      Bidirectional         4        Left
K5       IO_BE3N_4                         4      Bidirectional         4        Left
K4       IO_BE4P_4                         4      Bidirectional         4        Left
L2       IO_BE4N_4                         4      Bidirectional         4        Left
H6       IO_BE1P_5                         5      Bidirectional         4       Right
J1       IO_BE1N_5                         5      Bidirectional         4       Right
H2       IO_BE2P_5                         5      Bidirectional         4       Right
H1       IO_BE2N_5                         5      Bidirectional         4       Right
F1       IO_BE3P_5                         5      Bidirectional         4       Right
G6       IO_BE3N_5                         5      Bidirectional         4       Right
E2       IO_BE4P_5                         5      Bidirectional         4       Right
E1       IO_BE4N_5                         5      Bidirectional         4       Right
G2       IO_BE5P_5                         5      Bidirectional         4       Right
G1       IO_BE5N_5                         5      Bidirectional         4       Right
H3       IO_BE6P_5                         5      Bidirectional         4       Right
H4       IO_BE6N_5                         5      Bidirectional         4       Right
F2       IO_BE7P_5                         5      Bidirectional         4       Right
H5       IO_BE7N_5                         5      Bidirectional         4       Right
G4       IO_BE8P_5,GCLKIOB_4               5      Bidirectional         4       Right
G3       IO_BE8N_5,GCLKIOB_5               5      Bidirectional         4       Right
F3       IO_BE9P_5                         5      Bidirectional         4       Right
D1       IO_BE9N_5                         5      Bidirectional         4       Right
D2       IO_BE10P_5,GPLL0IP_REF            5      Bidirectional         4       Right
G5       IO_BE10N_5,GPLL0IN_REF            5      Bidirectional         4       Right
E3       IO_BE11P_5                        5      Bidirectional         4       Right
F5       IO_BE11N_5                        5      Bidirectional         4       Right
E4       IO_BE12P_5,GPLL0IP_FDB            5      Bidirectional         4       Right
F4       IO_BE12N_5,GPLL0IN_FDB            5      Bidirectional         4       Right
B1       IO_BE13P_5                        5      Bidirectional         4       Right
C2       IO_BE13N_5                        5      Bidirectional         4       Right
D3       IO_BE14P_5                        5      Bidirectional         4       Right
C1       IO_BE14N_5                        5      Bidirectional         4       Right
K2       IO_BE8P_4,GCLKIOB_2               4      Bidirectional         4       Right
J6       IO_BE8N_4,GCLKIOB_3               4      Bidirectional         4       Right
J2       IO_BE7P_4                         4      Bidirectional         4       Right
J5       IO_BE7N_4                         4      Bidirectional         4       Right
J4       IO_BE6P_4                         4      Bidirectional         4       Right
K3       IO_BE6N_4                         4      Bidirectional         4       Right
J3       IO_BE5P_4                         4      Bidirectional         4       Right
J7       IO_BE5N_4                         4      Bidirectional         4       Right
G8       VCCIO1_0                                 Power                 5        Left
G9       VCCIO2_0                                 Power                 5        Left
G10      VCCIO3_0                                 Power                 5        Left
G11      VCCIO4_0                                 Power                 5        Left
H12      VCCIO1_1                                 Power                 5        Left
J11      VCCIO2_1                                 Power                 5        Left
K11      VCCIO3_1                                 Power                 5        Left
L12      VCCIO4_1                                 Power                 5        Left
M8       VCCIO1_2                                 Power                 5        Left
M9       VCCIO2_2                                 Power                 5        Left
M10      VCCIO3_2                                 Power                 5        Left
M11      VCCIO4_2                                 Power                 5        Left
L7       VCCIO1_3                                 Power                 5        Left
M7       VCCIO2_3                                 Power                 5        Left
J8       VCCIO1_4                                 Power                 5        Left
K8       VCCIO2_4                                 Power                 5        Left
G7       VCCIO1_5                                 Power                 5        Left
H7       VCCIO2_5                                 Power                 5        Left
M12      VCCAUX_9                                 Power                 5       Right
L11      VCCAUX_8                                 Power                 5       Right
L10      VCCAUX_7                                 Power                 5       Right
L9       VCCAUX_6                                 Power                 5       Right
L8       VCCAUX_5                                 Power                 5       Right
H11      VCCAUX_4                                 Power                 5       Right
H10      VCCAUX_3                                 Power                 5       Right
H9       VCCAUX_2                                 Power                 5       Right
H8       VCCAUX_1                                 Power                 5       Right
G12      VCCAUX_0                                 Power                 5       Right
A1       GND0                                     Power                 5       Right
A18      GND1                                     Power                 5       Right
B2       GND2                                     Power                 5       Right
B17      GND3                                     Power                 5       Right
J9       GND4                                     Power                 5       Right
J10      GND5                                     Power                 5       Right
K9       GND6                                     Power                 5       Right
K10      GND7                                     Power                 5       Right
N6       GND8                                     Power                 5       Right
N13      GND9                                     Power                 5       Right
U2       GND10                                    Power                 5       Right
U17      GND11                                    Power                 5       Right
V1       GND12                                    Power                 5       Right
V18      GND13                                    Power                 5       Right
F6       GND_PLL0                                 Power                 5       Right
F13      GND_PLL1                                 Power                 5       Right

Total Number of Pins,324
